Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,id,cluster
cereals rte malt-o-meal blueberry mini spooners,350.0,8.81,0.4,1.92,79.4,10.3,18.44,33.0,29.45,73,331.0,327.0,2.0,6.81,0.0,0.0,0.0,0.0,1.1,0.99,14.06,1.33,0.0,3.05,0.0,0.67,0.0,4064,5
cereals rte general mills 25 less sugar cinn toast crunch,386.0,5.09,1.0,9.89,78.19,11.2,21.39,714.0,12.89,57,357.0,167.0,565.0,10.69,0.154,0.0,6.9,17.1,1.1,1.2,14.3,1.42,19.0,4.3,426.0,1.74,2.9,8392,5
cereals rte general mills rice chex,375.0,6.4,0.5,1.89,85.09,2.0,8.0,370.0,33.29,30,148.0,188.0,809.0,13.89,0.26,0.0,19.6,22.2,1.39,1.6,18.5,1.85,4.0,5.59,556.0,0.35,3.7,7254,5
cereals rte kellogg's appl jacks w marshmallows,378.0,4.3,1.5,2.8,89.6,7.4,51.1,10.0,16.1,23,61.0,90.0,381.0,5.4,0.0,0.0,0.0,54.0,1.34,1.52,17.9,1.79,19.0,5.4,0.0,0,3.6,1231,5
cereals rte general mills cinn toast crunch,410.0,5.45,0.975,10.25,77.99,6.8,30.3,444.0,20.48,54,199.0,201.0,567.0,18.12,0.192,1.545,4.7,19.4,2.467,2.067,24.533,2.7,19.0,6.65,918.0,2.14,5.3,5525,5
beverage inst brkfst pdr choc not recon,353.0,19.9,0.56,1.4,66.2,0.4,65.8,285.0,12.82,228,427.0,947.0,385.0,8.55,1.425,0.0,12.1,76.9,0.85,0.2,14.24,1.14,0.0,1.71,625.0,9.37,0.0,7710,5
cereals rte kellogg kellogg's cocoa krispies,389.0,4.6,2.1,2.7,87.9,1.4,38.6,127.0,14.5,38,102.0,197.0,424.0,5.0,0.332,1.1,16.1,48.0,1.21,1.37,16.1,1.61,4.0,4.8,1210.0,10.8,4.8,757,5
cereals rte quaker whl hearts oat crl,376.0,7.63,0.839,5.61,80.1,9.1,21.53,0.0,32.11,77,322.0,568.0,554.0,11.89,0.0,0.0,0.0,71.3,2.378,1.348,15.855,1.586,0.0,4.75,0.0,5.58,0.0,3237,5
cereals rte kellogg spl k fruit  yogurt,367.0,7.1,1.4,2.9,85.3,8.1,32.1,27.0,25.3,51,157.0,188.0,452.0,1.2,0.313,2.469,29.5,66.0,1.64,1.86,21.9,2.19,19.0,6.6,702.0,0,3.3,8416,5
cereals rte kellogg kellogg's spl k chocolatey strawberry,368.0,6.9,3.0,3.9,83.3,9.5,28.6,25.0,27.89,59,180.0,280.0,631.0,1.5,0.0,0.0,0.0,72.0,1.8,2.04,24.1,2.41,0.0,7.0,0.0,0,3.5,8633,5
cereals rte quaker cap'n crunch,398.0,4.39,3.346,5.12,85.51,2.5,44.32,11.0,19.42,55,167.0,186.0,754.0,16.16,0.111,0.747,6.5,0.0,1.614,1.822,21.465,2.138,19.0,0.0,7.0,0.62,0.0,9912,5
babyfood fort crl bar fruit filling,344.0,5.43,0.453,5.3,68.63,1.7,42.0,1053.0,13.16,19,247.0,180.0,157.0,0.59,0.0819999999999999,0.461,14.1,2.4,0.921,1.053,11.842,1.105,17.0,0.19,14.0,0.9,0.0,4285,5
cereals rte malt-o-meal blueberry muffin tops crl,443.0,4.9,1.66,11.48,79.91,4.7,35.36,338.0,34.29,38,176.0,179.0,462.0,14.68,0.0,0.0,0.0,25.0,1.5,1.6,19.64,1.96,19.0,5.0,500.0,0.97,3.2,260,5
cereals rte post grape-nuts flakes,376.0,9.4,0.5,3.7,82.0,10.2,15.2,36.0,27.9,101,280.0,336.0,470.0,7.8,0.3,0.0,47.8,0.0,1.3,1.5,17.2,1.7,19.0,5.2,775.0,0.81,3.4,1879,5
cereals rte general mills appl cinn cheerios,386.0,8.3,1.1,6.09,79.9,7.3,34.2,333.0,15.0,80,267.0,248.0,390.0,12.5,0.251,0.0,18.8,20.0,1.29,1.39,16.7,1.66,19.0,5.0,498.0,0.68,3.3,4111,5
cereals rte general mills fiber one honey clusters,323.0,7.69,0.4,2.59,83.9,19.0,17.79,192.0,31.2,77,192.0,372.0,394.0,14.39,0.35,0.0,35.0,11.5,1.2,1.6,19.2,1.92,19.0,2.9,0.0,0.62,0.0,9743,5
cereals rte kellogg's frstd mini-wheats little bites choc,354.0,8.5,1.5,3.4,81.4,10.9,22.29,33.0,28.89,90,335.0,481.0,371.0,2.7,0.0,0.0,0.0,0.0,0.67,0.75,8.89,0.88,19.0,3.0,0.0,0,0.0,918,5
cereals rte malt-o-meal marshmllw mateys,387.0,6.94,0.719,3.53,82.77,4.9,40.91,333.0,30.0,71,232.0,186.0,667.0,12.5,0.202,0.0,14.6,20.0,1.25,1.41,16.67,1.66,19.0,5.0,500.0,0.2,3.3,10142,5
cereals malt-o-meal choc dry,363.0,10.6,0.31,0.82,79.55,2.8,16.63,375.0,42.88,33,124.0,245.0,10.0,0.87,0.079,0.0,0.0,0.0,1.25,1.12,20.31,2.05,28.0,0.0,0.0,2.07,0.0,5101,5
cereals rte post honey bunches of oats w real strawberries,399.0,6.7,0.6,4.9,83.3,5.4,24.0,26.0,26.1,46,139.0,219.0,410.0,1.0,0.2,0.0,0.0,15.6,1.2,1.4,16.1,1.7,19.0,4.8,0.0,0,3.2,6432,5
cereals rte kellogg kellogg's spl k red berries,358.0,6.3,0.3,1.29,87.09,8.5,29.7,24.0,26.1,59,166.0,229.0,619.0,1.29,0.246,0.0,13.0,68.0,1.69,1.91,22.6,2.25,19.0,6.8,499.0,15.3,3.3,8459,5
cereals rte quaker swt crunchquisp,406.0,4.51,4.442,6.08,85.03,2.3,43.36,9.0,18.35,55,168.0,187.0,740.0,15.29,0.069,0.326,6.5,0.0,1.529,1.732,20.382,2.037,19.0,0.0,21.0,0.73,0.0,2164,5
