Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,id,cluster
pepperidge farm farmhouse hearty white bread,267.0,0.01,0.98,2.98,,,60.16,2.0,9.6,74,2.53,0.0,0.0,0.0,548.0,0.0,0.0,0.0,0.0,1.0,0.3,0.28,3.81,0.0,0.0,0,0.0,2731,6
raisins  dried  black ,305.681,2.57,0.06247,0.34,71.29,3.92,61.51,73.24,6.81,33.76,77.62,1105.0,10.99,0.22,0.47,0.52,1.86,2.05,0.09,0.04,0.48,0.17,38.3,0.0,1.08,0.02,0.00176,9933,6
keebler fudge shoppe jumbo fudge stks pnut butter,537.0,7.1,15.7,30.2,60.6,3.2,40.8,0.0,1.9,31,69.0,119.0,121.0,0.6,0.0,0.0,0.0,0.0,0.08,0.02,2.4,0.05,0.0,0.0,0.0,0,0.0,638,6
ice crm cones sugar rolled-type,402.0,7.9,0.573,3.8,84.1,1.7,25.66,44.0,4.43,31,103.0,145.0,298.0,0.75,0.268,0.732,4.8,0.0,0.511,0.405,5.066,0.052,4.0,0.0,0.0,0.07,0.0,3020,6
frostings glaze prepared-from-recipe,341.0,0.44,0.271,0.53,83.65,0.0,80.44,17.0,0.03,2,13.0,30.0,6.0,0.06,0.006,0.0139999999999999,1.0,0.0,0.006,0.045,0.039,0.006,1.0,0.05,4.0,0,0.0,6428,6
candies fudge vanilla prepared-from-recipe,383.0,1.05,3.382,5.45,82.15,0.0,79.77,38.0,0.02,3,30.0,49.0,47.0,0.15,0.004,0.002,1.7,0.0,0.0139999999999999,0.074,0.038,0.009,1.0,0.08,46.0,0.14,0.0,4837,6
inf formula mead johnson enfamil lactofree w irn pdr notrec,521.0,10.85,12.02,28.0,57.0,0.0,57.0,430.0,9.4,42,290.0,580.0,156.0,5.2,0.39,0.0,14.6,62.0,0.42,0.13,5.2,0.31,0.0,1.56,470.0,6.9,7.8,5096,6
candies choc dk nfs (45-59 cacao sol 90; 60-69 cacao sol,550.0,5.09,18.993,32.2,59.97,7.2,46.14,57.0,8.13,152,214.0,568.0,23.0,2.11,1.076,1.44,3.5,0.0,0.026,0.051,0.747,0.0409999999999999,0.0,0.23,2.0,0.55,0.0,9940,6
keebler fudge shoppe fudge stks pnut butter,544.0,6.8,17.4,31.4,60.0,2.7,41.4,0.0,1.8,47,106.0,296.0,138.0,0.9,0.0,0.0,0.0,0.0,0.21,0.12,3.3,0.05,0.0,0.0,0.0,0,0.0,6033,6
candies rolo caramels in milk choc,474.0,5.08,14.542,20.93,67.95,0.9,63.93,145.0,0.42,0,71.0,188.0,188.0,0.0,0.0,0.0,0.0,0.9,0.02,0.12,0.04,0.0,0.0,0.33,34.0,1.1,0.0,8418,6
inf formula  abbott nutrit  similac  for spit up  pow,514.0,11.0,18.025,27.75,55.0,0.0,55.0,432.0,9.3,31,288.0,550.0,154.0,3.83,0.463,0.026,9.3,46.0,0.514,0.771,5.396,0.308,0.0,1.28,467.0,6.93,7.7,1463,6
jellies,266.0,0.15,0.005,0.02,69.95,1.0,51.22,7.0,0.19,6,6.0,54.0,30.0,0.03,0.011,0.132,0.4,0.9,0.001,0.026,0.036,0.02,2.0,0.0,0.0,0,0.0,4497,6
cookie butter or sugar w choc icing or filling,503.0,4.1,14.8,23.5,68.83,1.9,33.8,19.0,2.44,13,74.0,234.0,348.0,0.2,0.365,0.0,9.0,0.0,0.34,0.19,2.1,0.026,38.0,0.03,0.0,1.81,0.0,7420,6
breakfast bars oats sugar raisins cocnt (incl granola bar),464.0,9.8,12.69,17.6,66.7,3.1,27.52,60.0,3.18,101,277.0,326.0,251.0,1.6,0.36,0.0,16.0,1.0,0.28,0.11,1.75,0.35,81.0,0.0,8.0,0.82,0.0,6648,6
keebler el fudge butter flav cookies,482.0,5.5,7.0,20.5,70.0,3.4,33.9,0.0,3.2,22,63.0,143.0,275.0,0.6,0.0,0.0,0.0,0.0,0.31,0.22,2.5,0.02,0.0,0.0,0.0,0,0.0,9967,6
candies mars snackfood us skittles sours original,401.0,0.18,3.765,4.0,91.02,0.0,73.16,0.0,0.01,0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,61.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4590,6
figs dried uncooked,249.0,3.3,0.144,0.93,63.87,9.8,47.92,162.0,2.03,68,67.0,680.0,10.0,0.55,0.287,0.51,0.6,1.2,0.085,0.0819999999999999,0.619,0.106,9.0,0.0,0.0,0.35,0.0,2257,6
keebler fudge shoppe grasshopper cookies fudge mint,499.0,4.0,16.4,23.7,68.3,2.4,39.7,0.0,1.7,31,76.0,306.0,266.0,0.2,0.0,0.0,0.0,0.0,0.26,0.17,1.9,0.0,0.0,0.0,0.0,0,0.0,8915,6
glutino gluten free cookies choc vanilla creme,474.0,2.19,7.905,17.89,76.03,2.5,49.0,19.0,2.81,40,70.0,157.0,275.0,0.66,0.261,0.515,0.0,0.0,0.05,0.076,0.39,0.0,0.0,0.0,0.0,0,0.0,7516,6
cookies choc sndwch w creme filling red fat,436.0,2.94,2.941,13.24,76.17,2.9,41.18,0.0,3.18,25,66.0,176.0,471.0,0.49,0.188,0.0,13.2,0.0,0.29,0.204,2.235,0.02,12.0,0.0,0.0,1.68,0.0,8017,6
wendy's french fr,301.0,3.73,2.79,14.1,,,39.73,4.0,0.4,16,0.93,33.0,126.0,625.0,219.0,0.54,0.159,0.271,0.8,3.8,0.157,0.053,3.007,0.387,0.0,0,0.0,2844,6
tamarinds raw,239.0,2.8,0.272,0.6,62.5,5.1,38.8,74.0,2.8,92,113.0,628.0,28.0,0.1,0.086,0.0,1.3,3.5,0.428,0.152,1.938,0.066,14.0,0.0,2.0,0.1,0.0,4243,6
candies mars snackfood us 3 musketeers bar,436.0,2.6,8.646,12.75,77.77,1.5,66.89,54.0,0.67,29,69.0,133.0,194.0,0.55,0.155,0.16,1.9,0.2,0.034,0.0559999999999999,0.23,0.015,4.0,0.16,20.0,0.98,0.0,1772,6
cake pudding-type choc dry mix,391.0,4.6,2.022,8.14,80.16,2.3,39.53,133.0,2.92,41,286.0,337.0,767.0,0.78,0.272,0.213,3.3,0.1,0.21,0.17,2.417,0.031,10.0,0.5,1.0,0.65,0.0,1828,6
syrups grenadine,268.0,0.0,0.0,0.0,66.91,0.0,46.55,6.0,0.05,4,4.0,28.0,27.0,0.13,0.026,0.0,0.6,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,0.0,435,6
inf formula  abbott nutr  similac  pm 6040  pdr not recon,524.0,11.4,12.214,28.71,54.94,0.0,52.38,288.0,1.13,31,144.0,411.0,123.0,3.85,0.462,0.026,9.8,46.2,0.514,0.77,5.392,0.308,0.0,1.28,462.0,8.61,7.7,9356,6
keebler 100 cal right bites fudge shoppe mini fudge stripes,470.0,4.0,12.9,17.8,74.3,1.9,39.2,0.0,0.0,13,72.0,219.0,314.0,0.2,0.0,0.0,0.0,0.0,0.34,0.2,2.1,0.0,0.0,0.0,0.0,0,0.0,5512,6
murray southern kitchen choc chip cookies,493.0,5.5,9.1,23.7,66.5,2.5,30.5,0.0,3.3,36,130.0,134.0,493.0,0.7,0.0,0.0,0.0,0.0,0.36,0.23,2.7,0.02,0.0,0.0,0.0,0,0.0,7171,6
cookies sugar refr dough bkd,489.0,4.7,5.906,23.1,65.6,0.9,40.36,90.0,1.84,8,187.0,163.0,362.0,0.27,0.0409999999999999,0.289,3.5,0.0,0.182,0.122,2.412,0.023,9.0,0.07,12.0,0.21,0.0,7206,6
cherries tart dried swtnd,333.0,1.25,0.146,0.73,80.45,2.5,67.15,38.0,0.68,22,36.0,376.0,13.0,0.25,0.229,0.0,0.4,19.3,0.0579999999999999,0.101,0.867,0.101,11.0,0.0,141.0,0.17,0.0,4033,6
cake angelfood dry mix,366.0,6.4,0.039,0.27,86.13,0.5,61.33,153.0,0.27,11,337.0,91.0,822.0,0.16,0.094,0.142,12.6,0.0,0.0,0.267,0.267,0.009,17.0,0.05,0.0,0,0.0,10050,6
keebler animals crackers,450.0,5.6,4.5,14.2,75.3,1.4,25.4,345.0,3.3,13,92.0,74.0,468.0,0.4,0.0,0.0,0.0,0.0,0.42,0.26,3.3,0.02,0.0,0.0,0.0,0,0.0,3771,6
candies confectioner's coating yogurt,522.0,5.87,24.104,27.0,63.94,0.0,62.36,205.0,0.14,18,157.0,290.0,88.0,0.7,0.008,0.003,4.7,0.5,0.064,0.261,0.154,0.0559999999999999,8.0,0.65,1.0,1.11,0.0,6864,6
fruit leather pieces,359.0,1.0,0.65,2.68,82.82,0.0,57.58,18.0,0.75,14,24.0,164.0,403.0,0.19,0.171,0.184,2.7,56.0,0.043,0.1,0.1,0.3,4.0,0.0,6.0,0.56,0.0,9794,6
cereals rte quaker mother's pnut butter bumpers crl,407.0,7.62,1.45,7.33,79.68,2.5,29.29,23.0,1.97,74,213.0,296.0,774.0,1.42,0.0,0.0,0.0,0.0,0.18,0.07,2.7,0.12,24.0,0.0,8.0,3.71,0.0,1680,6
keebler chips deluxe original choc chip cookies,517.0,5.5,11.1,28.3,62.7,2.9,30.1,0.0,3.6,47,95.0,171.0,350.0,0.8,0.0,0.0,0.0,0.0,0.32,0.21,2.4,0.02,0.0,0.0,0.0,0,0.0,8033,6
beverages kraft coffee inst french vanilla cafe,481.0,2.5,4.6,19.2,74.6,1.4,54.3,12.0,0.33,0,203.0,546.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6553,6
candies reese's fast break milk choc pnt btr  sft nugts,474.0,8.66,8.23,23.42,61.6,2.9,53.08,61.0,0.96,48,130.0,284.0,330.0,0.94,0.18,0.0,0.0,0.4,0.13,0.1,3.57,0.07,39.0,0.0,0.0,0,0.0,7117,6
cereals rte kashi indigo morning,364.0,7.7,0.6,3.4,82.8,7.1,22.2,0.0,2.6,106,256.0,289.0,472.0,1.8,0.0,0.0,0.0,4.0,0.32,0.17,3.0,0.52,23.0,0.0,0.0,0.67,0.0,2544,6
cookies vanilla wafers higher fat,455.0,4.9,4.245,16.41,72.6,1.6,35.07,36.0,2.79,12,88.0,99.0,325.0,0.36,0.07,0.29,5.6,0.0,0.289,0.316,3.307,0.055,48.0,0.0,0.0,2.27,0.0,9805,6
frostings vanilla creamy rte,418.0,0.0,2.974,16.23,67.89,0.0,63.1,3.0,0.16,1,18.0,34.0,184.0,0.07,0.0,0.0,0.1,0.0,0.01,0.302,0.22,0.0,8.0,0.0,0.0,1.53,0.0,648,6
kellogg's pop-tarts frstd waffle cone toaster pastries,373.0,3.9,2.3,6.8,74.3,1.2,32.4,200.0,3.6,10,45.0,84.0,432.0,0.3,0.0,0.0,0.0,0.0,0.3,0.34,4.0,0.4,0.0,0.0,300.0,0,0.0,3110,6
mother's double fudge creme sndwch cookies,457.0,5.3,7.7,20.4,70.0,3.3,33.1,0.0,3.8,45,84.0,405.0,245.0,0.4,0.0,0.0,0.0,0.0,0.31,0.19,2.5,0.02,0.0,0.0,0.0,0,0.0,7840,6
toaster pastries kellogg kellogg's pop tarts blueberry,412.0,4.6,2.02,13.3,68.41,1.1,30.9,24.0,3.5,16,88.0,95.0,398.0,1.27,0.15,0.0,0.0,0.0,0.29,0.33,3.8,0.38,0.0,0.0,289.0,0,0.0,8260,6
honey,304.0,0.3,0.0,0.0,82.4,0.2,82.12,6.0,0.42,2,4.0,52.0,4.0,0.22,0.036,0.08,0.8,0.5,0.0,0.038,0.121,0.024,2.0,0.0,0.0,0,0.0,9134,6
famous amos choc sndwch creme cookies,474.0,4.3,6.4,19.1,72.3,2.2,40.4,0.0,3.4,39,114.0,151.0,420.0,0.2,0.0,0.0,0.0,0.0,0.25,0.19,2.6,0.01,0.0,0.0,0.0,0,0.0,6916,6
lemonade frz conc pink,192.0,0.22,26.0,0.69,48.86,0.3,46.46,,0.08,7,7.0,76.0,4.0,0.03,0.011,0.0139999999999999,0.0,14.1,0.017,0.0,0.12,0.015,11.0,0.0,0.0,0.07,0.0,9667,6
candies milk choc walmonds,526.0,9.0,17.701,34.4,53.4,6.2,43.9,224.0,1.63,90,264.0,444.0,74.0,1.34,0.422,0.624,4.0,0.2,0.06,0.435,0.742,0.045,13.0,0.67,52.0,3.14,0.0,4420,6
doughnuts  yeast-leavened  glazed  enriched (inc honey buns),421.0,6.14,9.453,22.7,47.93,2.1,22.75,101.0,2.38,17,117.0,102.0,316.0,0.61,0.088,0.307,15.7,1.2,0.312,0.185,2.61,0.037,40.0,0.11,5.0,1.43,0.1,9049,6
archway home style cookies  old fashioned molasses,406.0,4.27,2.77,11.83,70.55,1.1,36.09,32.0,4.99,0,0.0,0.0,561.0,0.0,0.0,0.0,0.0,0.0,0.31,0.24,2.84,0.0,0.0,0.0,0.0,0,0.0,2371,6
cookies sugar prep from recipe made wmargarine,472.0,5.9,4.69,23.4,60.0,1.2,24.86,73.0,2.33,12,90.0,77.0,491.0,0.42,0.078,0.316,17.6,0.1,0.294,0.257,2.443,0.03,11.0,0.09,238.0,2.57,0.5,9875,6
kellogg's pop-tarts ice crm shoppe frstd hot fudge sundae to,391.0,4.4,3.9,10.8,69.8,3.3,24.7,200.0,3.6,0,45.0,125.0,399.0,0.0,0.0,0.0,0.0,0.0,0.3,0.34,4.2,0.4,0.0,0.0,300.0,0,0.0,5702,6
cake snack cakes creme-filled choc w frstng,399.0,3.63,4.884,15.93,60.31,3.2,37.76,116.0,3.6,36,87.0,176.0,332.0,1.04,0.305,0.485,3.4,1.9,0.037,0.075,0.925,0.143,13.0,0.06,1.0,1.09,0.0,5344,6
