Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,id,cluster
rohu,102.292,19.71,2.047,2.39,0.0,0.0,0.0,39.37,1.04,26.53,200.0,303.0,35.56,0.8,0.05,0.04,51.5,0.0,0.0,0.04,2.33,240.0,1263.0,0.0,0.0,2.4,0.0,2372,4
lobster  king size ,89.625,18.54,0.174,0.78,0.0,0.0,0.0,66.44,0.35,50.16,261.0,315.0,191.0,1.92,0.49,0.04,69.71,0.0,0.01,0.02,1.87,156.0,1997.0,0.0,0.0,0.52,0.0,9930,4
squid  white  small ,84.367,17.41,0.304,1.15,0.0,0.0,0.0,36.46,0.39,38.53,151.0,134.0,154.0,1.64,1.1,0.02,70.02,0.0,0.01,0.03,0.71,118.0,1833.0,0.0,0.0,0.66,0.0,2506,4
freshwater eel,107.789,20.41,0.981,2.63,0.0,0.0,0.0,52.99,1.54,42.5,361.0,450.0,88.67,2.23,2.72,0.13,67.32,0.0,0.0,0.31,2.3,106.0,1294.0,0.0,0.0,1.8,0.0,2197,4
matha,92.971,21.17,0.297,0.79,0.0,0.0,0.0,14.02,0.32,40.24,263.0,450.0,62.58,0.32,0.02,0.01,17.9,0.0,0.05,0.05,2.37,42.45,1157.0,0.0,0.0,0.61,0.0,8072,4
betki,67.876,15.28,0.0864,0.29,0.0,0.0,0.0,8.84,0.31,24.16,188.0,355.0,63.68,0.36,0.79,0.01,35.75,0.0,0.01,0.04,1.54,85.0,2079.0,0.0,0.0,0.38,0.0,7568,4
kalamaara,124.997,20.89,2.107,4.54,0.0,0.0,0.0,7.54,0.5,34.29,227.0,420.0,29.33,0.38,0.03,0.01,57.99,0.0,0.06,0.03,2.22,160.0,657.0,0.0,0.0,0.82,0.0,3982,4
clam  white shell  ribbed ,59.75,11.82,0.441,1.34,0.0,0.0,0.0,50.0,0.94,86.64,192.0,245.0,404.0,1.16,0.31,0.22,32.81,0.0,0.06,0.11,0.9,108.0,900.0,0.0,0.0,1.21,0.0,3986,4
allathi,97.034,21.77,0.346,0.98,0.0,0.0,0.0,13.78,0.62,29.08,215.0,286.0,32.68,0.3,0.03,0.01,12.55,0.0,0.08,0.04,3.67,194.0,1230.0,0.0,0.0,1.02,0.0,3163,4
parcus,86.279,19.87,0.166,0.62,0.0,0.0,0.0,21.08,0.28,28.84,218.0,446.0,64.38,0.33,0.02,0.02,16.23,0.0,0.04,0.02,0.88,202.0,488.0,0.0,0.0,0.26,0.0,324,4
salmon,172.319,20.97,4.305,9.86,0.0,0.0,0.0,24.3,0.98,31.18,211.0,345.0,20.25,0.51,0.08,0.01,36.34,0.0,0.07,0.06,4.45,150.0,1136.0,0.0,0.0,0.36,0.0,3327,4
kulam paarai,119.739,21.62,1.43,3.6,0.0,0.0,0.0,15.17,0.5,30.79,244.0,366.0,49.17,0.52,0.05,0.01,21.51,0.0,0.06,0.01,1.97,218.0,699.0,0.0,0.0,1.05,0.0,7534,4
queen fish,95.6,20.97,0.693,1.17,0.0,0.0,0.0,5.75,0.49,28.1,235.0,440.0,48.93,0.35,0.05,0.01,39.82,0.0,0.06,0.04,3.24,118.0,1073.0,0.0,0.0,0.52,0.0,854,4
perinkilichai,92.493,20.89,0.29,0.87,0.0,0.0,0.0,7.25,0.29,29.01,236.0,365.0,34.16,0.36,0.02,0.01,26.33,0.0,0.08,0.01,1.48,119.0,511.0,0.0,0.0,0.58,0.0,2017,4
shelavu,106.594,22.46,0.677,1.74,0.0,0.0,0.0,11.42,0.52,29.9,251.0,453.0,38.73,0.42,0.04,0.01,30.81,0.0,0.05,0.06,2.1,110.0,790.0,0.0,0.0,0.48,0.0,8430,4
cat fish,123.802,15.86,2.182,6.24,0.0,0.0,0.0,21.99,0.82,18.78,157.0,250.0,28.29,0.71,0.03,0.02,71.03,0.0,0.01,0.07,1.74,114.0,1395.0,0.0,0.0,0.38,0.0,861,4
chelu,87.474,20.02,0.229,0.7,0.0,0.0,0.0,8.17,0.67,31.68,252.0,406.0,37.6,0.41,0.13,0.02,18.43,0.0,0.06,0.02,2.19,161.0,677.0,0.0,0.0,0.41,0.0,4426,4
tiger prawns  orange ,64.53,14.25,0.177,0.74,0.0,0.0,0.0,71.89,0.39,30.5,191.0,140.0,61.05,1.16,0.41,0.02,54.22,0.0,0.03,0.03,1.18,112.0,807.0,0.0,0.0,2.87,0.0,9852,4
pomfret  white ,122.607,19.02,2.669,5.12,0.0,0.0,0.0,13.64,0.31,32.2,211.0,255.0,46.09,0.53,0.05,0.02,29.33,0.0,0.05,0.03,1.38,130.0,961.0,0.0,0.0,0.42,0.0,9904,4
eri meen,108.506,22.3,0.739,2.02,0.0,0.0,0.0,12.45,0.46,30.99,243.0,402.0,41.19,0.31,0.02,0.01,14.36,0.0,0.04,0.03,2.88,190.0,579.0,0.0,0.0,0.1,0.0,833,4
pambada,128.343,21.95,1.959,4.44,0.0,0.0,0.0,16.53,0.38,29.87,170.0,263.0,82.65,0.41,0.02,0.02,13.58,0.0,0.04,0.03,1.96,76.49,1163.0,0.0,0.0,0.47,0.0,6891,4
tarlava,98.946,21.72,0.504,1.2,0.0,0.0,0.0,11.68,0.53,30.1,199.0,370.0,67.4,0.31,0.03,0.01,23.42,0.0,0.04,0.04,2.13,149.0,1380.0,0.0,0.0,0.6,0.0,2489,4
squid  red ,78.631,16.25,0.448,1.44,0.0,0.0,0.0,14.15,0.26,35.74,167.0,134.0,121.0,0.95,0.15,0.02,47.43,0.0,0.03,0.02,0.71,101.0,1300.0,0.0,0.0,0.47,0.0,9479,4
pomfret  black ,123.085,18.91,2.229,4.83,0.0,0.0,0.0,18.1,0.78,28.22,195.0,295.0,69.09,0.5,0.07,0.02,50.25,0.0,0.06,0.02,2.61,76.0,2056.0,0.0,0.0,1.54,0.0,9477,4
kiriyan,132.884,22.49,2.102,4.7,0.0,0.0,0.0,19.42,1.0,31.98,214.0,277.0,35.88,0.82,0.09,0.03,23.56,0.0,0.04,0.13,2.75,121.0,604.0,0.0,0.0,0.35,0.0,7249,4
red snapper  small ,107.789,21.5,0.861,2.3,0.0,0.0,0.0,17.43,0.57,31.03,204.0,327.0,38.97,0.4,0.16,0.01,23.65,0.0,0.06,0.03,3.43,172.0,906.0,0.0,0.0,0.52,0.0,1456,4
karimeen,92.254,19.68,0.577,1.38,0.0,0.0,0.0,11.73,0.6,28.49,192.0,452.0,23.72,0.46,0.0,0.03,19.66,0.0,0.08,0.05,1.15,90.62,1199.0,0.0,0.0,0.37,0.0,2471,4
tuna,112.33,24.5,0.66,1.44,0.0,0.0,0.0,9.82,1.6,35.85,292.0,357.0,52.89,0.69,0.27,0.02,21.55,0.0,0.06,0.07,4.73,68.24,1374.0,0.0,0.0,0.17,0.0,3052,4
tilapia,83.411,18.48,0.413,1.08,0.0,0.0,0.0,99.39,2.84,24.56,184.0,255.0,52.55,0.88,0.04,0.1,20.85,0.0,0.02,0.18,1.4,176.0,829.0,0.0,0.0,0.57,0.0,6175,4
pomfret  snub nose ,89.625,21.05,0.145,0.46,0.0,0.0,0.0,6.57,0.41,29.85,247.0,483.0,36.1,0.92,0.03,0.01,30.62,0.0,0.08,0.05,1.94,77.51,651.0,0.0,0.0,1.26,0.0,9251,4
kalava,89.386,19.38,0.455,1.2,0.0,0.0,0.0,10.66,0.26,22.87,177.0,279.0,40.14,0.82,0.72,0.02,12.34,0.0,0.06,0.05,2.24,135.0,1194.0,0.0,0.0,0.33,0.0,925,4
xiphinis,88.43,19.82,0.363,0.88,0.0,0.0,0.0,12.08,0.54,26.38,255.0,306.0,66.21,0.56,0.03,0.01,32.82,0.0,0.06,0.05,3.24,65.79,820.0,0.0,0.0,0.76,0.0,3823,4
tiger prawns  brown ,65.247,14.85,0.121,0.56,0.0,0.0,0.0,37.81,0.73,45.93,189.0,141.0,188.0,1.1,0.32,0.03,46.95,0.0,0.01,0.03,1.03,104.0,1537.0,0.0,0.0,3.04,0.0,2279,4
ari fish,99.185,22.01,0.408,1.11,0.0,0.0,0.0,4.36,0.47,30.27,265.0,447.0,37.35,0.31,0.02,0.01,53.21,0.0,0.06,0.03,3.65,218.0,602.0,0.0,0.0,0.1,0.0,7616,4
