Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,id,cluster
"beef rnd eye of rnd steak bnless ln 0"" fat choic raw",124.0,23.35,1.137,3.38,,,0.0,0.0,0.0,13,1.47,12.0,221.0,324.0,52.0,3.43,0.049,0.001,22.8,0.0,0.063,0.183,6.81,0.648,4.0,1.68,2.0,2681,7
denny's hash browns,197.0,2.49,1.689,8.99,,,26.59,2.7,1.38,17,0.56,26.0,71.0,416.0,468.0,0.29,0.066,0.168,0.0,0.0,0.0069999999999999,0.048,2.17,0.203,23.0,0,0.0,2785,7
biscuits pln or bttrmlk dry mix,428.0,8.0,3.965,15.4,,,63.4,2.1,11.65,179,2.77,25.0,585.0,163.0,1276.0,0.6,0.154,0.34,7.5,0.3,0.575,0.437,4.542,0.076,34.0,0.39,2.0,2640,7
restaurant chinese orange chick,262.0,14.46,2.422,12.68,,,22.46,0.8,13.6,14,0.94,20.0,130.0,209.0,553.0,1.13,0.042,0.087,17.1,0.9,0.043,0.22,3.59,0.23,10.0,0.2,75.0,2918,7
chicken broilers or fryers drumstk meat only ckd fried,195.0,28.62,2.13,8.08,,,0.0,0.0,0.0,12,1.32,24.0,186.0,249.0,96.0,3.22,0.08,0.021,19.6,0.0,0.077,0.236,6.146,0.39,9.0,0.35,18.0,2972,7
cornnuts plain,446.0,8.5,2.43,15.64,,,71.86,6.9,0.61,9,1.67,113.0,275.0,278.0,564.0,1.78,0.115,0.455,14.8,0.0,0.0409999999999999,0.13,1.694,0.229,0.0,0,0.0,2815,7
"beef brisket flat half ln 18"" fat all grds ckd brsd",196.0,33.15,2.274,6.0,,,0.0,0.0,0.0,16,2.81,22.0,204.0,266.0,54.0,7.98,0.115,0.012,34.0,0.0,0.067,0.208,4.825,0.317,11.0,2.42,0.0,2873,7
chicken broilers or fryers breast meatskn ckd fried batter,260.0,24.84,3.52,13.2,,,8.99,0.3,0.0,20,1.25,24.0,185.0,201.0,275.0,0.95,0.06,0.054,28.0,0.0,0.115,0.146,10.523,0.43,6.0,0.3,20.0,2925,7
luxury loaf pork,141.0,18.4,1.58,4.8,,,4.9,0.0,0.0,36,1.05,20.0,185.0,377.0,1225.0,3.05,0.1,0.0409999999999999,21.5,0.0,0.707,0.297,3.482,0.31,2.0,1.37,0.0,2736,7
"beef comp of rtl cuts ln 0""fat choic ckd",206.0,29.51,3.374,8.87,,,0.0,0.0,0.0,14,2.98,21.0,235.0,338.0,63.0,6.85,0.092,0.0139999999999999,30.7,0.0,0.077,0.282,5.947,0.565,7.0,2.96,1.0,2828,7
lamb var meatsby-products tongue ckd brsd,275.0,21.57,7.83,20.28,,,0.0,0.0,0.0,10,2.63,16.0,134.0,158.0,67.0,2.99,0.21,0.033,28.0,7.0,0.08,0.42,3.69,0.17,3.0,6.3,0.0,2665,7
bread pound cake type pan de torta salvadoran,390.0,7.06,3.042,17.45,,,51.29,1.7,18.1,46,2.2,19.0,300.0,210.0,390.0,0.62,0.03,0.26,13.5,0.0,0.07,0.18,4.7,0.05,0.0,0,0.0,2843,7
"beef chk eye rst bnl america's bf rst ln 0"" fat all grd  raw",137.0,20.61,2.55,6.01,,,0.0,0.0,0.0,18,2.18,21.0,204.0,357.0,85.0,8.21,0.065,0.011,22.5,0.0,0.065,0.16,4.593,0.403,3.0,2.95,2.0,2934,7
