Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,id,cluster
van's the perfect 10 crispy six whl grain + four sd bkd crac,471.0,7.63,0.0,18.93,67.57,0.0,0.0,57.0,1.94,94,269.0,255.0,730.0,1.72,0.281,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3902,2
cookies butter commly prep enr,467.0,6.1,11.051,18.8,68.9,0.8,20.24,29.0,2.22,12,102.0,111.0,282.0,0.38,0.2,0.17,8.4,0.0,0.37,0.335,3.19,0.036,6.0,0.36,165.0,0.58,0.4,6624,2
butter lt stk wsalt,499.0,3.3,34.321,55.1,0.0,0.0,0.0,48.0,1.09,5,34.0,71.0,450.0,0.26,0.0,0.0,1.0,0.0,0.01,0.07,0.02,0.01,1.0,0.13,465.0,1.58,0.0,9144,2
cookies pnut butter refr dough bkd,503.0,9.1,6.199,27.5,57.3,1.2,0.0,111.0,1.87,41,264.0,338.0,436.0,0.75,0.166,0.461,5.1,0.0,0.168,0.184,4.098,0.064,9.0,0.06,14.0,0,0.0,1936,2
bread pumpernickel tstd,275.0,9.5,0.481,3.4,52.2,7.1,0.58,74.0,3.15,60,195.0,228.0,655.0,1.62,0.315,1.434,26.9,0.0,0.287,0.301,3.057,0.124,26.0,0.0,0.0,0.46,0.0,5270,2
beef nz imp subcutaneous fat ckd,731.0,6.5,30.256,78.3,0.0,0.0,0.0,17.0,0.47,7,66.0,129.0,25.0,0.43,0.015,0.002,2.2,0.0,0.063,0.034,1.27,0.057,0.0,0.34,0.0,0,0.3,7630,2
pizza hut breadstick parmesan garlic,343.0,12.2,2.966,12.88,44.48,2.4,1.11,87.0,4.65,22,129.0,132.0,539.0,1.02,0.107,0.488,22.0,0.0,0.493,0.56,7.08,0.103,0.0,0.0,0.0,0,0.0,10104,2
frostings choc creamy dry mix prep w butter,408.0,1.11,8.369,13.06,71.8,1.9,0.01,12.0,0.93,30,51.0,143.0,124.0,0.64,0.23,0.259,1.4,0.0,0.005,0.026,0.115,0.063,3.0,0.02,76.0,0.26,0.2,7044,2
keebler town house flipsides pretzel crackers chs,476.0,8.0,4.0,22.5,61.3,2.1,5.4,0.0,3.7,14,265.0,93.0,1454.0,0.0,0.0,0.0,0.0,0.0,0.51,0.31,4.2,0.0,0.0,0.0,0.0,0,0.0,4685,2
veal australian fat raw,509.0,9.91,23.564,52.17,0.0,0.0,0.0,2.0,0.93,0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0,0.0,1435,2
