Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,id,cluster
lentil whole  brown ,298.989,22.49,0.08122,0.64,48.47,16.82,1.63,76.13,7.57,101,274.0,756.0,11.2,3.6,0.98,1.55,33.14,0.0,0.4,0.22,2.54,0.46,132.0,0.0,1.09,0.19,0.0145199999999999,8214,1
cereals rte kellogg kellogg's cracklin' oat bran,395.0,9.2,6.2,14.1,70.3,12.7,28.0,59.0,3.7,153,278.0,403.0,280.0,3.1,0.4,0.0,27.3,31.0,0.77,0.87,10.2,1.02,19.0,3.1,244.0,0,2.0,3692,1
pasta whole-wheat dry,352.0,13.87,0.428,2.93,73.37,9.2,2.74,29.0,3.62,128,343.0,434.0,6.0,2.97,0.497,2.983,77.6,0.0,0.407,0.218,8.691,0.283,69.0,0.0,0.0,0.46,0.0,1169,1
snacks potato stks,522.0,6.7,8.88,34.4,53.3,3.4,0.22,18.0,2.27,64,172.0,1237.0,633.0,0.99,0.315,0.423,8.1,47.3,0.096,0.116,4.785,0.32,40.0,0.0,0.0,9.11,0.0,7291,1
kashi tlc tstd asiago crackers,420.0,12.7,2.2,13.8,66.4,9.6,7.1,160.0,2.9,57,448.0,756.0,659.0,1.5,0.0,0.0,0.0,0.0,0.33,0.11,2.8,0.3,0.0,0.0,0.0,0,0.0,6007,1
millet raw,378.0,11.02,0.723,4.22,72.85,8.5,0.0,8.0,3.01,114,285.0,195.0,5.0,1.68,0.75,1.632,2.7,0.0,0.421,0.29,4.72,0.384,85.0,0.0,0.0,0.05,0.0,6990,1
rye grain,338.0,10.34,0.197,1.63,75.86,15.1,0.98,24.0,2.63,110,332.0,510.0,2.0,2.65,0.367,2.577,13.9,0.0,0.316,0.251,4.27,0.294,38.0,0.0,1.0,0.85,0.0,1259,1
almonds dry rstd wosalt,598.0,20.96,4.092,52.54,21.01,10.9,4.86,268.0,3.73,279,471.0,713.0,3.0,3.31,1.099,2.232,2.0,0.0,0.077,1.197,3.637,0.136,55.0,0.0,0.0,23.9,0.0,8498,1
bengal gram  whole ,287.039,18.77,0.453,5.11,39.56,25.22,0.99,150.0,6.78,160,267.0,935.0,26.56,3.37,0.85,2.71,41.23,0.0,0.37,0.24,2.1,0.36,233.0,0.0,21.0,1.72,0.00193,4193,1
amaranth grain unckd,371.0,13.56,1.459,7.02,65.25,6.7,1.69,159.0,7.61,248,557.0,508.0,4.0,2.87,0.525,3.333,18.7,4.2,0.116,0.2,0.923,0.591,82.0,0.0,0.0,1.19,0.0,7134,1
crackers matzo whole-wheat,351.0,13.1,0.243,1.5,78.9,11.8,0.0,23.0,4.65,134,305.0,316.0,2.0,2.61,0.35,3.5,75.1,0.0,0.365,0.271,5.41,0.159,35.0,0.0,0.0,0,0.0,7681,1
formulated bar  high fiber  chewy  oats and chocolate,350.0,5.0,3.397,10.0,69.78,22.5,25.0,250.0,0.9,190,419.0,447.0,350.0,1.96,0.262,3.407,8.9,1.2,0.688,0.091,7.903,0.963,22.0,0.0,0.0,1.47,0.0,8368,1
popcorn cheese-flavor,526.0,9.3,6.41,33.2,51.6,9.9,0.79,113.0,2.24,91,361.0,261.0,889.0,2.01,0.14,0.713,12.0,0.5,0.124,0.241,1.453,0.235,11.0,0.53,8.0,3.82,0.0,7987,1
peppers ancho dried,281.0,11.86,0.82,8.2,51.42,21.6,0.0,61.0,10.93,113,201.0,2411.0,43.0,1.42,0.508,1.279,2.9,2.0,0.179,2.255,6.403,3.535,69.0,0.0,1022.0,0,0.0,9147,1
cardamom  black ,270.548,6.69,0.493,2.8,52.53,23.46,2.3,312.0,7.94,286,117.0,1331.0,16.25,4.75,0.75,30.25,3.99,0.0,0.05,0.13,0.52,0.2,4.96,0.0,13.27,1.1,0.04355,1268,1
lentil dal,322.411,24.35,0.09102,0.75,52.53,10.43,1.95,44.32,7.06,74.69,310.0,786.0,10.27,3.61,0.96,1.16,49.5,0.0,0.34,0.16,1.81,0.18,49.99,0.0,0.82,0.16,0.00131,4349,1
cereals rte barbara's puffins original,333.0,7.41,0.0,3.7,84.0,18.5,18.52,70.0,1.33,107,126.0,315.0,704.0,1.28,0.301,0.0,16.7,55.6,0.111,0.068,1.9,0.243,19.0,0.0,0.0,0.89,0.0,1346,1
nuts mxd nuts dry rstd w pnuts salt added chosen roaster,632.0,18.0,7.023,58.8,19.02,7.1,3.9,106.0,3.22,202,412.0,585.0,113.0,3.76,1.14,2.61,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1216,1
