Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,id,cluster
cranberries wild bush raw (alaska native),55.0,1.1,0.0,0.2,12.3,6.7,0.0,20.0,1.0,0,15.0,140.0,26.0,0.0,0.0,0.0,0.0,15.0,0.0,0.01,0.9,0.0,0.0,0.0,0.0,0,0.0,6515,0
pears raw grn anjou,66.0,0.44,0.0,0.1,15.79,3.1,9.73,11.0,0.24,7,13.0,127.0,1.0,0.1,0.077,0.048,0.0,4.4,0.01,0.022,0.151,0.026,9.0,0.0,1.0,0.12,0.0,4300,0
vegetables mxd cnd drnd sol,49.0,2.59,0.051,0.25,9.26,3.0,2.41,27.0,1.05,16,42.0,291.0,214.0,0.41,0.073,0.568,0.3,5.0,0.046,0.048,0.577,0.079,24.0,0.0,583.0,0.29,0.0,9696,0
campbell's chunky soups savory veg soup,44.0,1.22,0.204,0.41,8.98,1.6,2.45,16.0,0.29,0,0.0,0.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6387,0
campbell's  chnky micro bowl grlld chicsaus gmbo rts,57.0,2.86,0.816,1.63,7.35,0.4,2.04,16.0,0.15,0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9559,0
bean scarlet  tender ,42.781,2.86,0.266,0.99,5.16,4.5,1.03,43.48,0.73,8.28,39.63,164.0,1.46,0.37,0.17,0.42,2.58,6.61,0.13,0.12,0.52,0.31,45.26,0.0,3.88,0.15,0.0014,9765,0
plums cnd hvy syrup drnd,89.0,0.44,0.011,0.14,23.12,1.5,21.58,10.0,0.84,5,15.0,93.0,19.0,0.07,0.046,0.0,0.0,0.4,0.017,0.0409999999999999,0.291,0.0279999999999999,3.0,0.0,20.0,0.26,0.0,2325,0
alcoholic bev wine table white fume blanc,82.0,0.07,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1466,0
gravy franco-american chick slow rst,34.0,1.69,0.0,0.85,5.08,0.0,0.0,0.0,0.0,0,0.0,0.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4470,0
carrots cnd reg pk solliquids,23.0,0.58,0.025,0.14,5.37,1.8,2.46,31.0,0.52,9,20.0,173.0,240.0,0.29,0.103,0.45,0.4,2.0,0.019,0.027,0.421,0.112,8.0,0.0,613.0,0.73,0.0,9008,0
fast foods strwby banana smth made w ice  low-fat yogurt,65.0,0.86,0.0,0.14,15.05,0.9,12.68,20.0,0.14,11,11.0,131.0,14.0,0.09,0.038,0.212,0.3,5.2,0.023,0.0279999999999999,0.217,0.108,8.0,0.0,2.0,0.03,0.0,4808,0
campbell's red  white crm of shrimp soup cond,81.0,2.42,1.613,4.84,6.45,0.0,0.0,0.0,0.0,0,0.0,24.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6287,0
potatoes microwaved ckd in skn skn wosalt,132.0,4.39,0.026,0.1,29.63,5.5,0.0,46.0,5.94,37,82.0,650.0,16.0,0.51,0.882,0.98,0.5,15.3,0.071,0.075,2.22,0.492,17.0,0.0,0.0,0,0.0,8297,0
snake gourd  long  dark green ,11.95,0.89,0.09587,0.25,1.23,2.27,0.45,27.11,0.47,21.7,31.03,104.0,5.04,0.2,0.11,0.19,0.0,2.85,0.03,0.03,0.33,0.07,16.52,0.0,0.0,0.01,0.00308,8821,0
vegetables mxd (corn lima bns peas grn bns crrt) cnd no salt,37.0,1.4,0.039,0.2,7.31,3.1,2.41,21.0,0.65,15,37.0,138.0,26.0,0.51,0.104,0.0,0.3,3.8,0.03,0.04,0.48,0.08,18.0,0.0,583.0,0.29,0.0,4354,0
soup veg w bf broth cnd prep w eq volume h2o,33.0,1.21,0.18,0.78,5.35,0.7,0.82,9.0,0.4,3,16.0,79.0,253.0,0.33,0.067,0.138,1.1,1.0,0.021,0.019,0.395,0.023,4.0,0.0,43.0,0.06,0.0,5828,0
jerusalem-artichokes raw,73.0,2.0,0.0,0.01,17.44,1.6,9.6,14.0,3.4,17,78.0,429.0,4.0,0.12,0.14,0.06,0.7,4.0,0.2,0.06,1.3,0.077,13.0,0.0,1.0,0.19,0.0,6460,0
pace jalapenos nacho sliced peppers,13.0,0.0,0.0,0.0,3.33,3.3,3.33,67.0,0.0,0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1525,0
campbell's spaghettios original easy open,70.0,2.35,0.235,0.47,14.55,1.4,4.23,9.0,0.85,19,38.0,178.0,225.0,0.42,0.0,0.0,0.0,0.0,0.106,0.08,0.939,0.0,0.0,0.0,0.0,0,0.0,3566,0
plums dried (prunes) stwd w added sugar,124.0,1.09,0.017,0.22,32.88,3.8,0.0,21.0,1.04,19,33.0,312.0,2.0,0.22,0.18,0.092,1.0,2.7,0.022,0.093,0.675,0.203,0.0,0.0,14.0,0,0.0,9839,0
fish whitefish mxd sp raw (alaska native),131.0,18.9,1.37,6.1,0.0,0.0,0.0,0.0,0.29,33,280.0,317.0,51.0,0.99,0.072,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0,0.0,2175,0
sheep  lungs,86.757,16.12,1.138,2.41,0.0,0.0,0.0,7.74,8.58,11.68,187.0,204.0,109.0,1.58,0.41,0.03,16.12,0.0,0.07,0.23,2.75,0.02,13.89,0.0,0.0,0.08,0.0,6595,0
campbell's homestyle lt italian-style wedding soup,33.0,2.45,0.204,0.61,4.49,0.4,0.82,16.0,0.44,0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5879,0
soup tomato cnd prep weq volume h2o comm,32.0,0.71,0.0559999999999999,0.21,7.45,0.5,4.03,8.0,0.29,7,15.0,275.0,186.0,0.09,0.0289999999999999,0.067,1.5,6.3,0.02,0.0069999999999999,0.42,0.042,0.0,0.0,10.0,0.17,0.0,9032,0
seaweed laver raw,35.0,5.81,0.061,0.28,5.11,0.3,0.49,70.0,1.8,2,58.0,356.0,48.0,1.05,0.264,0.988,0.7,39.0,0.098,0.446,1.47,0.159,146.0,0.0,260.0,1,0.0,690,0
button mushroom  fresh ,27.485,3.68,0.06289,0.42,1.98,3.11,0.1,0.01,1.725,18.3,87.11,318.0,7.72,0.17,0.29,0.15,0.0,0.0,0.01,0.03,0.68,0.12,8.28,0.0,0.0,0.01,0.0,9679,0
denny's coleslaw,183.0,0.97,2.344,15.03,10.88,1.3,8.16,32.0,0.34,9,29.0,141.0,376.0,0.2,0.019,0.151,2.9,13.2,0.027,0.059,0.263,0.102,0.0,0.0,42.0,0.93,0.0,6045,0
cauliflower raw,25.0,1.92,0.13,0.28,4.97,2.0,1.91,22.0,0.42,15,44.0,299.0,30.0,0.27,0.039,0.155,0.6,48.2,0.05,0.06,0.507,0.184,57.0,0.0,0.0,0.08,0.0,1354,0
onions spring or scallions (incl topsbulb) raw,32.0,1.83,0.032,0.19,7.34,2.6,2.33,72.0,1.48,20,37.0,276.0,16.0,0.39,0.083,0.16,0.6,18.8,0.055,0.08,0.525,0.061,64.0,0.0,50.0,0.55,0.0,9566,0
squash wntr hubbard bkd wo salt,50.0,2.48,0.128,0.62,10.81,4.9,4.9,17.0,0.47,22,23.0,358.0,8.0,0.15,0.045,0.17,0.6,9.5,0.074,0.047,0.558,0.172,16.0,0.0,335.0,0.2,0.0,3037,0
coconut h2o (liq from coconuts),19.0,0.72,0.176,0.2,3.71,1.1,2.61,24.0,0.29,25,20.0,250.0,105.0,0.1,0.04,0.142,1.0,2.4,0.03,0.057,0.08,0.032,3.0,0.0,0.0,0,0.0,2237,0
babyfood grn bns dices todd,29.0,1.2,0.044,0.2,5.7,1.3,1.06,27.0,0.4,19,22.0,116.0,37.0,0.1,0.03,0.08,0.4,1.7,0.02,0.04,0.23,0.03,32.0,0.0,24.0,0.31,0.0,4747,0
silk french vanilla creamer,133.0,0.0,0.0,6.67,20.0,0.0,20.0,0.0,0.0,0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9023,0
nopales raw,16.0,1.32,0.016,0.09,3.33,2.2,1.15,164.0,0.59,52,16.0,257.0,21.0,0.25,0.052,0.457,0.7,9.3,0.012,0.0409999999999999,0.41,0.07,3.0,0.0,23.0,0,0.0,4772,0
corn wredgrn peppers cnd solliquids,75.0,2.33,0.085,0.55,18.17,0.0,0.0,5.0,0.79,25,62.0,153.0,347.0,0.37,0.06,0.043,0.6,8.8,0.022,0.08,0.95,0.0969999999999999,34.0,0.0,12.0,0,0.0,1799,0
campbell's red  white split pea w ham  bacon soup cond,141.0,7.81,0.391,1.56,23.44,3.1,3.13,16.0,1.13,0,0.0,352.0,664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7501,0
babyfood juice orange,45.0,0.6,0.035,0.3,10.2,1.0,8.26,12.0,0.17,9,11.0,184.0,,0.06,0.046,0.0,0.1,62.5,0.045,0.0279999999999999,0.239,0.054,26.0,0.0,3.0,0.04,0.0,5639,0
beans cranberry (roman) mature seeds ckd bld wsalt,136.0,9.34,0.119,0.46,24.46,8.6,0.0,50.0,2.09,50,135.0,387.0,237.0,1.14,0.231,0.37,1.3,0.0,0.21,0.069,0.515,0.081,207.0,0.0,0.0,0,0.0,4432,0
babyfood fruit applsaucapricots str,44.0,0.2,0.024,0.2,11.64,1.8,9.25,6.0,0.25,4,9.0,120.0,0.0,0.04,0.0409999999999999,0.0,0.3,18.9,0.0139999999999999,0.0289999999999999,0.14,0.03,2.0,0.0,17.0,0.18,0.0,5477,0
new zealand spinach ckd bld drnd wosalt,12.0,1.3,0.027,0.17,2.13,1.4,0.25,48.0,0.66,32,22.0,102.0,107.0,0.31,0.077,0.526,0.9,16.0,0.03,0.107,0.39,0.237,8.0,0.0,0.0,1.23,0.0,8014,0
broccoli frz chopd unprep,26.0,2.81,0.044,0.29,4.78,3.0,1.35,56.0,0.81,18,50.0,212.0,24.0,0.48,0.038,0.294,2.8,56.4,0.053,0.096,0.47,0.13,67.0,0.0,52.0,1.22,0.0,2540,0
beef aus imp wgu tp ln stkrst bnles ln  fat mrb scr45 raw,289.0,17.67,8.928,24.2,0.17,0.0,0.0,4.0,1.69,0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,3576,0
breadfruit seeds boiled,168.0,5.3,0.621,2.3,32.0,4.8,0.0,61.0,0.6,50,124.0,875.0,23.0,0.83,1.069,0.132,0.0,6.1,0.29,0.17,5.3,0.298,49.0,0.0,12.0,0,0.0,433,0
campbell's veg bf soup cond,65.0,3.79,0.09,0.26,11.8,2.1,1.7,13.0,0.6,5,20.0,169.0,656.0,0.64,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4213,0
turnip grnsturnips frz unprep,21.0,2.46,0.032,0.19,3.39,2.4,0.0,114.0,1.63,18,24.0,82.0,18.0,0.16,0.051,0.22,0.9,25.8,0.044,0.088,0.388,0.074,41.0,0.0,305.0,0,0.0,4939,0
beverages h2o btld poland spring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2359,0
bread oat bran,236.0,10.4,0.697,4.4,39.8,4.5,7.7,65.0,3.12,35,141.0,147.0,353.0,0.89,0.135,0.779,30.0,0.0,0.504,0.346,4.831,0.073,25.0,0.0,2.0,0.44,0.0,3234,0
turkey  breast  with skin,160.369,21.96,0.934,8.04,0.0,0.0,0.0,14.35,1.01,22,182.0,315.0,40.45,1.28,0.1,0.02,14.33,0.0,0.06,0.1,4.49,0.56,14.67,0.0,0.0,0.57,0.0,6057,0
vegetable juc cocktail lo na cnd,19.0,0.91,0.089,0.32,3.83,0.5,2.78,15.0,0.29,12,19.0,204.0,55.0,0.12,0.068,0.079,0.2,54.3,0.05,0.033,0.722,0.071,21.0,0.0,35.0,1.02,0.0,6703,0
campbell's homestyle potato broccoli chs soup,65.0,1.22,0.816,3.67,6.94,1.2,1.22,16.0,0.29,0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,581,0
lima bns immat seeds cnd reg pk sol  liquids,71.0,4.07,0.066,0.29,13.33,3.6,0.0,28.0,1.61,34,71.0,285.0,252.0,0.64,0.162,0.7,1.1,7.3,0.0289999999999999,0.043,0.532,0.062,16.0,0.0,8.0,0,0.0,3500,0
cabbage  green ,21.51,1.36,0.04654,0.12,3.25,2.76,1.0,51.76,0.35,17.99,30.15,233.0,14.98,0.16,0.03,0.2,1.08,33.25,0.03,0.05,0.24,0.13,46.36,0.0,2.21,0,0.00021,9825,0
kashi chick  chipotle bbq sau w mango frz entree,108.0,5.3,0.3,2.1,17.6,2.2,4.7,23.0,0.8,13,38.0,186.0,219.0,0.2,0.0,0.0,0.0,0.0,0.06,0.02,0.4,0.09,0.0,0.0,0.0,0,0.0,5395,0
campbell's red  white chick  stars soup cond,56.0,2.38,0.397,1.59,8.73,0.8,0.79,0.0,0.29,0,0.0,444.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8032,0
carrots cnd reg pk drnd sol,25.0,0.64,0.036,0.19,5.54,1.5,2.48,25.0,0.64,8,24.0,179.0,242.0,0.26,0.104,0.45,0.4,2.7,0.018,0.03,0.552,0.112,9.0,0.0,558.0,0.74,0.0,4954,0
babyfood dinner pasta wveg,60.0,1.7,1.23,2.1,8.4,1.5,1.2,14.0,0.5,24,50.0,133.0,11.0,0.4,0.11,0.39,6.4,2.9,0.06,0.05,0.56,0.11,9.0,0.0,41.0,0.23,0.0,7846,0
avocados raw florida,120.0,2.23,1.96,10.06,7.82,5.6,2.42,10.0,0.17,24,40.0,351.0,2.0,0.4,0.311,0.095,0.0,17.4,0.021,0.053,0.672,0.078,35.0,0.0,7.0,2.66,0.0,8541,0
frozen novelties klondike slim-a-bear choc cone,224.0,4.09,1.001,4.1,45.32,4.3,24.62,125.0,0.75,0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8301,0
boysenberries cnd hvy syrup,88.0,0.99,0.004,0.12,22.31,2.6,0.0,18.0,0.43,11,10.0,90.0,3.0,0.19,0.07,0.25,0.4,6.2,0.026,0.0289999999999999,0.23,0.038,34.0,0.0,2.0,0,0.0,9276,0
onions swt raw,32.0,0.8,0.0,0.08,7.55,0.9,5.02,20.0,0.26,9,27.0,119.0,8.0,0.13,0.0559999999999999,0.076,0.5,4.8,0.0409999999999999,0.02,0.133,0.13,23.0,0.0,0.0,0.02,0.0,9010,0
beverages tea herb brewed chamomile,1.0,0.0,0.002,0.0,0.2,0.0,0.0,2.0,0.08,1,0.0,9.0,1.0,0.04,0.015,0.044,0.0,0.0,0.01,0.004,0.0,0.0,1.0,0.0,1.0,0,0.0,3322,0
gourd dishcloth (towelgourd) ckd bld drnd wosalt,56.0,0.66,0.027,0.34,14.34,2.9,5.17,9.0,0.36,20,31.0,453.0,21.0,0.17,0.085,0.223,0.2,5.7,0.046,0.042,0.26,0.099,12.0,0.0,0.0,0.24,0.0,6422,0
quinces raw,57.0,0.4,0.01,0.1,15.3,1.9,0.0,11.0,0.7,8,17.0,197.0,4.0,0.04,0.13,0.0,0.6,15.0,0.02,0.03,0.2,0.04,3.0,0.0,2.0,0,0.0,6392,0
potatoes fr fr all types salt not added in proc frz ovn-htd,172.0,2.66,1.029,5.22,28.71,2.6,0.28,12.0,0.74,26,97.0,451.0,32.0,0.38,0.135,0.21,0.2,13.3,0.128,0.031,2.218,0.184,28.0,0.0,0.0,0.11,0.0,6470,0
beverages ocean spray lt cranberry concord grape,23.0,0.36,0.006,0.02,5.78,0.7,5.02,4.0,0.06,1,1.0,34.0,8.0,0.02,0.015,0.0,0.0,34.1,0.0,0.0,0.026,0.0,0.0,0.0,1.0,0,0.0,6010,0
beef  tripe,75.524,13.1,1.371,2.51,0.0,0.0,0.0,15.3,0.84,9.33,60.17,143.0,41.0,2.02,0.04,0.03,10.18,0.0,0.03,0.08,1.31,0.23,1.45,0.0,0.0,0.41,0.0,5784,0
gravy heinz home style classic chick,46.0,0.67,0.656,2.57,5.01,0.0,0.0,10.0,0.07,3,22.0,35.0,372.0,0.08,0.019,0.012,0.4,0.0,0.03,0.057,0.28,0.027,0.0,0.0,0.0,0.11,0.0,5193,0
mango  ripe  paheri ,44.932,0.68,0.186,0.58,8.67,1.97,8.48,15.11,0.51,14.28,15.18,153.0,1.63,0.2,0.11,0.24,1.44,30.75,0.03,0.04,0.28,0.23,65.28,0.0,0.0,0.37,0.00362,7548,0
beverages the coca-cola company minute maid lemonade,46.0,0.0,0.0,0.0,12.08,0.0,11.67,2.0,0.0,2,1.0,10.0,6.0,0.01,0.016,0.0,0.1,3.1,0.002,0.003,0.009,0.004,1.0,0.0,0.0,0,0.0,3087,0
salsify ckd bld drnd wsalt,68.0,2.73,0.0,0.17,15.36,3.1,2.9,47.0,0.55,18,56.0,283.0,252.0,0.3,0.07,0.21,0.6,4.6,0.0559999999999999,0.173,0.392,0.218,15.0,0.0,0.0,0.19,0.0,3243,0
snake gourd  short ,14.579,0.54,0.1,0.26,2.15,2.29,0.46,17.9,0.2,15.07,21.33,84.0,2.5,0.11,0.05,0.11,0.0,2.3,0.03,0.02,0.33,0.06,17.74,0.0,0.0,0.01,0.00312,3596,0
asparagus frz ckd bld drnd wsalt,18.0,2.95,0.096,0.42,1.92,1.6,0.32,18.0,0.56,10,49.0,172.0,240.0,0.41,0.105,0.14,3.9,24.4,0.065,0.103,1.038,0.02,135.0,0.0,40.0,1.2,0.0,9602,0
soybeans green raw,147.0,12.95,0.786,6.8,11.05,4.2,0.0,197.0,3.55,65,194.0,620.0,15.0,0.99,0.128,0.547,1.5,29.0,0.435,0.175,1.65,0.065,165.0,0.0,9.0,0,0.0,1404,0
grapes cnd thompson seedless hvy syrup pk solliquids,76.0,0.48,0.033,0.1,19.65,0.6,19.05,10.0,0.94,6,17.0,103.0,5.0,0.05,0.054,0.038,0.1,1.0,0.03,0.022,0.125,0.065,3.0,0.0,3.0,0.13,0.0,7042,0
veal australian shank hind bone-in ln raw,122.0,20.37,1.7,4.47,0.0,0.0,0.0,17.0,3.08,0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4229,0
parsnips ckd bld drnd wosalt,71.0,1.32,0.05,0.3,17.01,3.6,4.8,37.0,0.58,29,69.0,367.0,10.0,0.26,0.138,0.294,1.7,13.0,0.083,0.051,0.724,0.093,58.0,0.0,0.0,1,0.0,7459,0
frozen novelties klondike slim-a-bear vanilla sndwch,239.0,3.9,3.25,5.85,42.75,4.3,21.82,142.0,0.38,0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4970,0
beverages zevia cola caffeine free,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3074,0
mushrooms cnd drnd sol,25.0,1.87,0.038,0.29,5.09,2.4,2.34,11.0,0.79,15,66.0,129.0,425.0,0.72,0.235,0.086,4.1,0.0,0.085,0.021,1.593,0.061,12.0,0.0,0.0,0.01,0.2,6213,0
cowpeas leafy tips ckd bld drnd wosalt,22.0,4.67,0.026,0.1,2.8,0.0,0.0,69.0,1.09,62,42.0,351.0,6.0,0.24,0.154,0.412,0.9,18.4,0.256,0.142,1.008,0.135,60.0,0.0,29.0,0,0.0,8105,0
goat  chops,135.752,20.39,2.877,5.98,0.0,0.0,0.0,7.44,1.87,21.13,195.0,334.0,45.72,4.55,0.07,0.02,21.76,0.0,0.05,0.13,5.51,0.3,1.53,0.0,0.0,0.15,0.0,6452,0
campbell's homestyle veg medley soup,37.0,1.22,0.0,0.2,7.35,1.2,3.27,16.0,0.29,0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5237,0
peas grn frz ckd bld drnd wsalt,78.0,5.15,0.049,0.27,14.26,4.5,4.4,24.0,1.52,22,77.0,110.0,323.0,0.67,0.105,0.279,1.0,9.9,0.283,0.1,1.48,0.113,59.0,0.0,105.0,0.03,0.0,6039,0
longans dried,286.0,4.9,0.0,0.4,74.0,0.0,0.0,45.0,5.4,46,196.0,658.0,48.0,0.22,0.807,0.248,0.0,28.0,0.04,0.5,1.0,0.0,0.0,0.0,0.0,0,0.0,7310,0
bitter gourd  jagged  teeth ridges  elongate ,20.793,1.44,0.144,0.24,2.82,3.78,0.04,21.36,1.15,43.75,62.13,326.0,13.09,0.57,0.09,0.37,0.02,46.53,0.05,0.04,0.27,0.05,60.28,0.0,10.9,0.03,0.0019199999999999,7675,0
babyfood fruit bananas wapplspears str,83.0,0.9,0.106,0.22,19.31,1.4,12.76,5.0,0.3,25,19.0,233.0,2.0,0.1,0.08,0.0819999999999999,0.6,13.9,0.01,0.03,0.55,0.29,5.0,0.0,3.0,0.08,0.0,8911,0
peppers swt grn frz chopd unprep,20.0,1.08,0.031,0.21,4.45,1.6,0.0,9.0,0.62,8,17.0,91.0,5.0,0.06,0.053,0.117,0.2,58.7,0.069,0.038,1.37,0.137,14.0,0.0,18.0,0,0.0,8160,0
campbell's red  white chick noodle soup cond,47.0,2.37,0.388,1.53,5.97,0.0,0.0,6.0,0.69,8,38.0,44.0,683.0,0.28,0.027,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8699,0
tomato  green ,20.793,1.12,0.04691,0.27,3.18,1.62,0.83,8.49,0.42,13.57,22.5,225.0,13.11,0.16,0.06,0.12,8.25,16.41,0.08,0.05,0.46,0.07,12.51,0.0,3.91,0.39,0.0011,10062,0
soup tomato rice cnd prep w eq volume h2o,47.0,0.82,0.2,1.06,8.54,0.7,2.95,11.0,0.31,2,13.0,129.0,319.0,0.2,0.055,0.15,0.9,5.8,0.024,0.02,0.411,0.03,6.0,0.0,12.0,0.86,0.0,7608,0
