Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,id,cluster
colocasia  stem  black ,23.9,0.76,0.103,0.34,3.83,3.01,0.53,29.46,0.77,11.07,20.31,381.0,0.45,0.54,0.05,2.0,0.82,5.15,0.02,0.04,0.16,0.06,30.88,0.0,0.0,0.06,0.00021,5281,0
campbell's chunky microwavable bwls chck dmplings soup,78.0,3.27,0.816,3.67,7.35,1.2,0.82,8.0,0.0,0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3277,0
campbell's healthy request crm of mushroom soup cond,55.0,1.29,0.33,1.7,8.6,1.0,1.79,71.0,0.3,13,56.0,596.0,327.0,0.07,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5257,0
beverages  ocean spray  cranberry-apple juice drink  bottled,56.0,0.29,0.001,0.0,13.68,0.6,13.12,2.0,0.04,1,1.0,14.0,19.0,0.02,0.009,0.023,0.1,29.6,0.003,0.0069999999999999,0.0279999999999999,0.019,0.0,0.0,1.0,0.27,0.0,9350,0
dandelion grns ckd bld drnd wsalt,33.0,2.0,0.0,0.6,6.4,2.9,1.62,140.0,1.8,24,42.0,232.0,280.0,0.28,0.115,0.23,0.3,18.0,0.13,0.175,0.514,0.16,13.0,0.0,727.0,0.6,0.0,1952,0
prego pasta tomato basil  garlic ital sau rts,64.0,1.6,0.0,2.0,9.6,2.4,7.2,16.0,0.58,0,0.0,320.0,336.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10106,0
campbell's chunky soups old fashioned potato ham chowder,78.0,2.45,1.633,4.49,6.94,1.2,0.41,8.0,0.15,0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,844,0
campbell's chunky soups hearty chick w veg soup,45.0,2.45,0.204,0.82,6.94,1.2,1.22,8.0,0.0,0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4611,0
squirrel ground meat (alaska native),111.0,19.3,0.0,3.8,0.0,0.0,0.0,0.0,4.7,0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5396,0
campbell's crm of mushroom soup cond,81.0,1.29,0.951,5.5,6.59,0.6,0.4,8.0,0.16,3,19.0,67.0,697.0,0.11,0.024,0.036,2.9,0.5,0.01,0.017,0.363,0.018,0.0,0.0,0.0,0.58,0.2,5611,0
grapefruit raw pinkredwhite all areas,32.0,0.63,0.0139999999999999,0.1,8.08,1.1,6.98,12.0,0.09,8,8.0,139.0,0.0,0.07,0.047,0.012,0.3,34.4,0.036,0.02,0.25,0.042,10.0,0.0,46.0,0.13,0.0,6118,0
babyfood juc orangeapplbanana,47.0,0.4,0.016,0.1,11.5,0.1,10.03,5.0,0.35,6,8.0,134.0,0.0,0.03,0.044,0.0,0.1,32.1,0.043,0.027,0.263,0.062,10.0,0.0,1.0,0.02,0.0,4888,0
sweet potato frz unprep,96.0,1.71,0.039,0.18,22.22,1.7,0.0,37.0,0.53,22,45.0,365.0,6.0,0.31,0.177,0.665,0.6,13.3,0.067,0.051,0.597,0.177,21.0,0.0,518.0,0,0.0,6712,0
gravy franco-american bf slow rst,42.0,1.69,0.0,0.85,5.08,0.0,0.0,0.0,0.0,0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3249,0
peppers swt grn frz chopd bld drnd wosalt,18.0,0.95,0.027,0.18,3.9,0.9,0.0,8.0,0.52,7,13.0,72.0,4.0,0.05,0.044,0.0969999999999999,0.2,41.2,0.051,0.031,1.082,0.108,10.0,0.0,15.0,0,0.0,584,0
lime juc cnd or btld unswtnd,21.0,0.25,0.026,0.23,6.69,0.4,1.37,12.0,0.23,7,10.0,75.0,16.0,0.06,0.03,0.008,0.1,6.4,0.033,0.003,0.163,0.027,8.0,0.0,1.0,0.12,0.0,4691,0
